Z' (Ω);-Z'' (Ω);Error Z' (%);Error Z'' (%);Z (Ω);-Phase (°);Frequency (Hz);Convergence;Number of iterations;χ²
40.0580106030141;0.103392054622593;4.98841880650216;-94.093077042747;40.0581440332443;0.147883410113018;100000;True;38;0.82754
40.05801680457;0.130162594838517;5.47562975694357;-91.6410767065362;40.0582282760522;0.1861734974096;79433;;;
40.0580266333426;0.163864671143812;5.82058097338619;-88.6751206875749;40.0583617911171;0.234377538984156;63096;;;
40.0580422108919;0.206293124834339;5.93472349828505;-85.3225409765894;40.0585733972511;0.295062370863142;50119;;;
40.058066899541;0.259707238176047;5.84367907134445;-81.7446377819893;40.0589087666859;0.371458767959534;39811;;;
40.0581060286317;0.326952042492733;5.71655917150603;-78.0298371942161;40.059440288641;0.467634594631004;31623;;;
40.0581680446042;0.411608892680025;5.5497049956118;-74.3311067227934;40.060282687099;0.58870945860017;25119;;;
40.0582663255378;0.51817785406317;5.27904970797312;-70.7070694290291;40.0616176570063;0.741114156701777;19953;;;
40.0584221097791;0.652356681989502;4.94227631850938;-67.1473920295833;40.0637336149013;0.932986846504459;15849;;;
40.0586690314925;0.821288299866379;4.56651372060082;-63.7225728347328;40.0670872293726;1.17452134483713;12589;;;
40.0590603002025;1.03391942144665;4.14963802387205;-60.2557697958419;40.072400745467;1.47846878965565;10000;;;
40.0596804539752;1.30162370417194;3.60331292194595;-56.843101029331;40.080821128588;1.86100627266317;7943.3;;;
40.0606633266502;1.63864223367552;3.02842944185934;-53.3671014247135;40.094162848739;2.34232203548546;6309.6;;;
40.06222107009;2.06292231408278;2.30223394464698;-49.8361110067019;40.1152988963401;2.94772575236453;5011.9;;;
40.0646899061235;2.59705455569998;1.56059481985751;-46.2088669977018;40.1487741984623;3.7088113803561;3981.1;;;
40.0686027426549;3.26948485740826;0.760836267492139;-42.5418188946367;40.2017718139576;4.66483917451789;3162.3;;;
40.0748041576901;4.11601796039716;-0.197222391484804;-38.8581196772959;40.2856243854744;5.86419354192307;2511.9;;;
40.0846317934054;5.18163695129224;-1.15313336895218;-35.1659324869725;40.4181526978644;7.36563211974655;1995.3;;;
40.1002090678649;6.52328430446801;-2.2045057004451;-31.4885664242817;40.6273307688727;9.23963082702513;1584.9;;;
40.1248983510928;8.21231928010152;-3.33226127135627;-27.9671171893523;40.9566802322143;11.5669201417799;1258.9;;;
40.1640179693118;10.3380695642967;-4.46104816635386;-24.5533952639749;41.4731723136226;14.4343928022203;1000;;;
40.2260151292642;13.013993236751;-5.6554141988787;-21.3867655252914;42.2787927115474;17.9275254986343;794.33;;;
40.3242566433733;16.3819458650609;-7.01146461748705;-18.5754478499422;43.5248644359339;22.10971251212;630.96;;;
40.4799160847673;20.6202929616975;-8.35395891019273;-15.9647476600292;45.4292866778253;26.9940953102163;501.19;;;
40.7265111648124;25.9527323997246;-9.83400893939037;-13.6081660932933;48.2927844576113;32.507087708352;398.11;;;
41.1170704623322;32.6593218411194;-11.5099837304589;-11.5274217839589;52.5094733026928;38.4601440501108;316.23;;;
41.7353939793447;41.0893420916013;-13.3702054910718;-9.59039326984482;58.5677141788183;44.5530888769703;251.19;;;
42.713597492664;51.6751872973441;-15.2878832874951;-7.64767739850698;67.0430935516918;50.4235971352617;199.53;;;
44.2598932379283;64.9516129663544;-17.403287508647;-5.77880412368559;78.5980290870191;55.7283595780954;158.49;;;
46.7001986279087;81.5635284649006;-19.515414701956;-3.90193880360846;93.9867954955949;60.2061758786378;125.89;;;
50.5406553954837;102.268810523784;-21.2647715359131;-1.8541659222517;114.075709306384;63.7016835377823;100;;;
56.5622393507918;127.936224631308;-22.537580963194;0.288446095739936;139.881966290472;66.1491660449127;79.433;;;
65.9447561337042;159.46845908104;-22.9244475759346;2.59384766957052;172.565640563859;67.5335100334919;63.096;;;
80.4238127479729;197.663058662589;-21.9998350419805;4.57841787476356;213.397925052638;67.8599069201709;50.119;;;
102.438475942056;242.917326661722;-19.4323832916237;7.00921124353583;263.633209110326;67.1347992615422;39.811;;;
135.166694284634;294.725037749838;-15.6686590400418;9.85622550484636;324.242013194588;65.3628797281514;31.623;;;
182.231246171963;350.960639575922;-10.9682857472517;12.5911188577197;395.451131763366;62.5600555997497;25.119;;;
246.768894104016;407.168933628857;-5.2648177503017;15.0444114745902;476.110730408147;58.7816133501943;19.953;;;
329.751592339262;456.499425468929;0.621542015285511;16.9690801538227;563.141046367374;54.1575991993065;15.849;;;
428.020444520117;491.0701191359;5.74938795931419;17.4524145189093;651.422568564635;48.9243460920716;12.589;;;
533.641354614086;505.03247512661;9.89010295270801;15.9800674041151;734.731853322603;43.4222633969973;10;;;
636.02387640644;497.685847229022;12.5540674280861;12.5690869607341;807.599884776579;38.0430216092513;7.9433;;;
725.768489832644;474.139387388614;13.6905469104029;7.61710384077524;866.918715628638;33.1562994521857;6.3096;;;
797.761259403962;442.987217566871;13.3521031816387;1.16096151747935;912.50243941232;29.0428864726394;5.0119;;;
851.515747026882;413.004842595736;12.0844866964868;-5.41180613246977;946.388962024747;25.874458629051;3.9811;;;
889.541178866374;391.095298516846;9.96540852999978;-11.4244725800545;971.719631077277;23.7331512935923;3.1623;;;
915.423304547694;381.952544834207;7.22809205567513;-16.5209675870039;991.911071121977;22.6479200717348;2.5119;;;
932.5802620348;388.706008640679;4.08782170765612;-19.9611587895265;1010.34563704223;22.626717122474;1.9953;;;
943.757341031014;413.792438941811;0.636245054997585;-21.7049640371098;1030.48634211005;23.6751516393219;1.5849;;;
950.95482090122;459.684381970834;-2.93649071695788;-21.6362034023745;1056.23141518475;25.7987721999259;1.2589;;;
955.554479283333;529.410069169381;-6.94269473553744;-20.4375919331315;1092.40989752765;28.9879616713255;1;;;
958.480944231431;627.009172215894;-10.9852476942428;-17.9587214813616;1145.34982537984;33.1914950029641;0.79433;;;
960.337074598709;757.834491146831;-15.0137908604109;-14.4376830711102;1223.33985990018;38.2781661682391;0.63096;;;
961.512086268682;928.934493274912;-18.9947536617422;-11.0118116602085;1336.94606653996;44.012733885651;0.50119;;;
962.255014860625;1149.46119251604;-22.878471503812;-7.09040161270156;1499.06495747343;50.0660958156132;0.39811;;;
962.724391935656;1431.18139152884;-27.158058408884;-3.09110295793963;1724.85316194924;56.0721418716921;0.31623;;;
963.020796390221;1789.10958451715;-30.6719230538204;0.516867943275916;2031.82729573436;61.7078324949889;0.25119;;;
963.207902647755;2242.27705979929;-35.0293835297504;4.19983216095406;2440.40485916277;66.7532432288074;0.19953;;;
963.326012279317;2814.91554478098;-38.5962604117465;7.3442429274239;2975.18848649688;71.1079253764987;0.15849;;;
963.400550315379;3537.5110749215;-42.3871413512316;9.54947394395545;3666.35039590329;74.7656148972426;0.12589;;;
963.447577343102;4448.33361740309;-46.231404538843;12.5268270654543;4551.47264146526;77.7792822656754;0.1;;;
